,support,itemsets
283,0.06060606060606061,"frozenset({'occupancyStatus', 'CLTVoriginal', 'loanPurpose'})"
284,0.06060606060606061,"frozenset({'preHarpLoanSequenceNumber', 'CLTVoriginal', 'loanPurpose'})"
285,0.06060606060606061,"frozenset({'UPBoriginal', 'CLTVoriginal', 'loanPurpose'})"
286,0.06060606060606061,"frozenset({'numberOfUnits', 'numberOfBorrowers', 'CLTVoriginal'})"
287,0.06060606060606061,"frozenset({'occupancyStatus', 'numberOfBorrowers', 'CLTVoriginal'})"
288,0.09090909090909091,"frozenset({'numberOfBorrowers', 'postalCode', 'CLTVoriginal'})"
289,0.06060606060606061,"frozenset({'preHarpLoanSequenceNumber', 'numberOfBorrowers', 'CLTVoriginal'})"
290,0.09090909090909091,"frozenset({'numberOfBorrowers', 'propertyState', 'CLTVoriginal'})"
291,0.06060606060606061,"frozenset({'UPBactual', 'numberOfBorrowers', 'CLTVoriginal'})"
292,0.12121212121212122,"frozenset({'UPBoriginal', 'numberOfBorrowers', 'CLTVoriginal'})"
293,0.06060606060606061,"frozenset({'CLTV', 'numberOfBorrowers', 'CLTVoriginal'})"
294,0.09090909090909091,"frozenset({'creditScoreOriginal', 'numberOfBorrowers', 'CLTVoriginal'})"
295,0.06060606060606061,"frozenset({'numberOfUnits', 'postalCode', 'CLTVoriginal'})"
296,0.06060606060606061,"frozenset({'numberOfUnits', 'propertyState', 'CLTVoriginal'})"
297,0.06060606060606061,"frozenset({'UPBoriginal', 'numberOfUnits', 'CLTVoriginal'})"
298,0.06060606060606061,"frozenset({'occupancyStatus', 'preHarpLoanSequenceNumber', 'CLTVoriginal'})"
299,0.06060606060606061,"frozenset({'occupancyStatus', 'UPBoriginal', 'CLTVoriginal'})"
300,0.09090909090909091,"frozenset({'propertyState', 'postalCode', 'CLTVoriginal'})"
301,0.06060606060606061,"frozenset({'UPBactual', 'postalCode', 'CLTVoriginal'})"
302,0.09090909090909091,"frozenset({'UPBoriginal', 'postalCode', 'CLTVoriginal'})"
303,0.06060606060606061,"frozenset({'creditScoreOriginal', 'postalCode', 'CLTVoriginal'})"
304,0.06060606060606061,"frozenset({'UPBoriginal', 'preHarpLoanSequenceNumber', 'CLTVoriginal'})"
305,0.06060606060606061,"frozenset({'UPBactual', 'propertyState', 'CLTVoriginal'})"
306,0.09090909090909091,"frozenset({'UPBoriginal', 'propertyState', 'CLTVoriginal'})"
307,0.06060606060606061,"frozenset({'creditScoreOriginal', 'propertyState', 'CLTVoriginal'})"
308,0.06060606060606061,"frozenset({'UPBactual', 'UPBoriginal', 'CLTVoriginal'})"
309,0.06060606060606061,"frozenset({'UPBoriginal', 'CLTVoriginal', 'CLTV'})"
310,0.09090909090909091,"frozenset({'creditScoreOriginal', 'UPBoriginal', 'CLTVoriginal'})"
311,0.06060606060606061,"frozenset({'CLTV', 'LTV', 'CLTVoriginal'})"
312,0.12121212121212122,"frozenset({'creditScoreOriginal', 'LTV', 'CLTVoriginal'})"
313,0.06060606060606061,"frozenset({'LTVoriginal', 'LTV', 'CLTVoriginal'})"
314,0.12121212121212122,"frozenset({'creditScoreOriginal', 'CLTV', 'CLTVoriginal'})"
315,0.06060606060606061,"frozenset({'LTVoriginal', 'CLTVoriginal', 'CLTV'})"
316,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'CLTV', 'CLTVoriginal'})"
317,0.06060606060606061,"frozenset({'creditScoreOriginal', 'LTVoriginal', 'CLTVoriginal'})"
318,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'creditScoreOriginal', 'CLTVoriginal'})"
319,0.09090909090909091,"frozenset({'interestRateCurrent', 'currentLoanDelinquencyStatus', 'creditScore'})"
320,0.09090909090909091,"frozenset({'currentLoanDelinquencyStatus', 'creditScore', 'interestRateOriginal'})"
321,0.06060606060606061,"frozenset({'loanAge', 'currentLoanDelinquencyStatus', 'creditScore'})"
322,0.06060606060606061,"frozenset({'modificationFlag', 'currentLoanDelinquencyStatus', 'creditScore'})"
323,0.06060606060606061,"frozenset({'numberOfBorrowers', 'currentLoanDelinquencyStatus', 'creditScore'})"
324,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'postalCode', 'creditScore'})"
325,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'propertyState', 'creditScore'})"
326,0.06060606060606061,"frozenset({'UPBactual', 'currentLoanDelinquencyStatus', 'creditScore'})"
327,0.06060606060606061,"frozenset({'UPBoriginal', 'currentLoanDelinquencyStatus', 'creditScore'})"
328,0.09090909090909091,"frozenset({'currentLoanDelinquencyStatus', 'LTV', 'creditScore'})"
329,0.06060606060606061,"frozenset({'LTVoriginal', 'currentLoanDelinquencyStatus', 'creditScore'})"
330,0.09090909090909091,"frozenset({'interestRateCurrent', 'DebtToIncomeRatioOriginal', 'creditScore'})"
